model,base,base,base,base,base,textattack,textattack,textattack,textattack,textattack,fabriceyhc,fabriceyhc,fabriceyhc,fabriceyhc,fabriceyhc,wakaka,wakaka,wakaka,wakaka,wakaka
metrics,loss_train,loss_test,f1_train,f1_test,duration,loss_train,loss_test,f1_train,f1_test,duration,loss_train,loss_test,f1_train,f1_test,duration,loss_train,loss_test,f1_train,f1_test,duration
epoch,,,,,,,,,,,,,,,,,,,,
35,0.1906708270461992,0.3140472837878462,0.9187648074529172,0.8886335228418208,0:00:08.678513,0.0258386943991242,0.4508781288564302,0.9887965305384894,0.9328252893028508,0:00:08.961097,0.0342492736637351,0.3852028797775077,0.9895594908243986,0.9303657110600378,0:00:09.772189,0.1716574819540945,0.309748403987222,0.9282415773200016,0.9005282045078827,0:00:09.789390
36,0.188844519642221,0.3504955372749107,0.922579608882464,0.8878674247006169,0:00:08.707280,0.0249734160183268,0.4726384284264276,0.9896799582379632,0.9333091407604532,0:00:08.797239,0.0346179565670183,0.3521435252649703,0.9893587118017908,0.9320591911616468,0:00:09.656499,0.1676232663099206,0.2736549242111595,0.9330602738625868,0.9014555864682876,0:00:09.579159
37,0.187986024491613,0.3275972691535008,0.9190057422800466,0.8906495705818313,0:00:08.713717,0.0257825972264127,0.4887423057373838,0.9889571537565756,0.9325833635740496,0:00:08.786941,0.0323476385234612,0.3857008509264899,0.9900413604786572,0.9312527720656424,0:00:09.585433,0.1682015350219986,0.3237463552903081,0.9300887443279926,0.9026652151122938,0:00:09.519405
38,0.1858694145506168,0.3025565856177188,0.919045898084568,0.8913350268134349,0:00:08.715029,0.0255872979652548,0.4915554933711308,0.9892382443882264,0.9327446473932502,0:00:08.715784,0.0348587320487696,0.3652480475712981,0.989439023410834,0.9312930930204428,0:00:09.566921,0.1635966256705613,0.3162251101850564,0.9315745090952896,0.9037135599370992,0:00:09.421768
39,0.1793615846190511,0.3291755161985187,0.9224591414688992,0.8886335228418208,0:00:08.675764,0.0240878034306002,0.4904050816782171,0.989880737260571,0.933268819805653,0:00:08.779905,0.0327153835129834,0.3900517143746081,0.9900413604786572,0.9307285996532398,0:00:09.580515,0.1636010101997557,0.3279629988287856,0.931373730072682,0.9009717350106852,0:00:09.519730
40,0.1799724851071416,0.3217504338712966,0.9231819459502872,0.8883915971130196,0:00:08.673466,0.0219330677215492,0.5424082196323545,0.9901618278922218,0.9323817588000484,0:00:08.923140,0.0341020640515871,0.4269943054198931,0.9902421395012648,0.9319382282972462,0:00:09.699844,0.1602614084402144,0.3124359607553713,0.9330602738625868,0.902705536067094,0:00:09.814898
41,0.1795132745939649,0.3364426977260362,0.9225394530779424,0.8836337244465949,0:00:08.674008,0.0253784084551507,0.4782327243332047,0.9892382443882264,0.9308495625176404,0:00:08.720196,0.0322296839624055,0.378400660966929,0.9909247881781312,0.9320188702068464,0:00:09.603897,0.1616014466287427,0.2810754321620796,0.9340641689756254,0.8965767509374623,0:00:09.719133
42,0.1774598234865111,0.3641443868964598,0.9239047504316747,0.8833917987177936,0:00:08.684604,0.0229845023168536,0.4884486135004257,0.990844476569088,0.9326236845288496,0:00:08.737528,0.0321701072023313,0.3523311847834128,0.9897602698470064,0.9287931938228297,0:00:09.613259,0.1596011429695132,0.3222118848502712,0.9338232341484962,0.9041570904399018,0:00:09.753170
43,0.1735726515039208,0.3195513721814105,0.9232221017548088,0.8890770533446232,0:00:08.710626,0.0223819658262241,0.5647594292087523,0.9900012046741355,0.9320995121164468,0:00:08.722829,0.0329291052877102,0.3836934432201864,0.990844476569088,0.9306479577436394,0:00:09.559008,0.1549012001008464,0.3251034291791155,0.9355499337429224,0.9035925970726988,0:00:09.633395
44,0.1714288673658924,0.4068501158645941,0.9263542545074892,0.8814563928873835,0:00:08.719530,0.0217360713067065,0.5344456094055263,0.9902822953057864,0.933268819805653,0:00:08.784988,0.0304723156876718,0.3538227050201705,0.9909247881781312,0.929962501512036,0:00:09.556700,0.1548782397558929,0.2907366252300344,0.9349475966750994,0.9009717350106852,0:00:09.719667
45,0.1719609027541936,0.3102075518132401,0.9260731638758384,0.8911737429942341,0:00:08.693543,0.0220101274441844,0.527221661247762,0.990322451110308,0.9321801540260474,0:00:08.985048,0.033175751301179,0.3375872523753462,0.9900012046741355,0.9310511672916416,0:00:09.691268,0.1550949310850405,0.3104870805496433,0.9355499337429224,0.9027458570218942,0:00:09.868077
46,0.1659217435598793,0.3521330659887944,0.9252700477854072,0.8890770533446232,0:00:08.677565,0.0205947486483684,0.5629197245015527,0.9908846323736096,0.9326236845288496,0:00:08.768373,0.0313916834659445,0.3378506464701579,0.9909247881781312,0.9276238861336236,0:00:09.605198,0.1503243939054412,0.3157810243213408,0.9370356985102196,0.8991169710898754,0:00:09.628935
47,0.1612513049114709,0.3721233710050155,0.9289643818013894,0.8906898915366317,0:00:08.676924,0.0210964074022525,0.528059392444278,0.9910854113962172,0.9316156606588444,0:00:08.740286,0.031042947481262,0.3979313231716566,0.9913263462233466,0.9297205757832344,0:00:09.670481,0.1513547153500254,0.3145202825484373,0.936834919487612,0.901133018829886,0:00:09.601786
48,0.1643196606114315,0.3132596973632218,0.9280809541019154,0.8909318172654327,0:00:08.673312,0.0216871379063671,0.5324992150376708,0.9907641649600448,0.933873634127656,0:00:08.633366,0.0309243021451148,0.3335748314801599,0.9908846323736096,0.9310108463368412,0:00:09.651756,0.1490259093025625,0.3213273198199793,0.937798658796129,0.9007298092818838,0:00:09.536623
49,0.1587861656858101,0.3495341679300724,0.9302493675460788,0.8886335228418208,0:00:08.708289,0.0187744982366174,0.5352688340145126,0.991567281050476,0.9321398330712471,0:00:08.755939,0.0296493966572658,0.4364787512165668,0.9910050997871742,0.930406032014838,0:00:09.602926,0.1457906775929711,0.3268751140429456,0.9393245793679476,0.9023829684286924,0:00:09.606048
50,0.1613269246641224,0.3784176097515507,0.929687186282777,0.8860529817346074,0:00:08.718355,0.0212259206074867,0.5944457977155814,0.9906035417419587,0.9287528728680297,0:00:08.978060,0.0290468669572243,0.3920608161325927,0.9916074368549974,0.9309302044272408,0:00:09.751660,0.149205617160705,0.3165008668100985,0.9394450467815124,0.901133018829886,0:00:09.838910
51,0.1585551388478038,0.3869054158992557,0.9299281211099064,0.8900447562598283,0:00:08.717407,0.0187130365910944,0.5440583267452721,0.9914869694414328,0.9314140558848434,0:00:08.774094,0.0288063676036871,0.3717463735504199,0.991286190418825,0.932341437845248,0:00:09.651584,0.143975337613398,0.3039411496702272,0.9396859816086416,0.901133018829886,0:00:09.607559
52,0.1567694567889933,0.3337529146491453,0.9310524836365096,0.8905286077174307,0:00:08.676644,0.0188451076531082,0.5500886565536975,0.9915271252459544,0.9322607959356476,0:00:08.727725,0.029040383859217,0.3522081995443026,0.9915271252459544,0.9301641062860369,0:00:09.657836,0.1409340778907307,0.3336568872360173,0.9417339276392402,0.8998830692310794,0:00:09.533821
53,0.1557132921591688,0.3525842891888427,0.9309320162229452,0.8889964114350227,0:00:08.677473,0.0192819321996712,0.5742073859329899,0.991647592659519,0.9325833635740496,0:00:08.634527,0.0293273694215446,0.3495308280194578,0.9910050997871742,0.9312930930204428,0:00:09.641930,0.1432476187428515,0.326898187886175,0.9406497209171586,0.9021813636546914,0:00:09.459095
54,0.1492164194732139,0.3908214825091489,0.93314058547163,0.8887544857062215,0:00:08.685406,0.0183050310774368,0.5807609168831891,0.9919688390956912,0.931535018749244,0:00:08.708037,0.0297237384130873,0.3892962256938806,0.9918082158776051,0.9304463529696384,0:00:09.605588,0.1398208638454697,0.3440065179776269,0.9423362647070634,0.8939558888754485,0:00:09.486534
55,0.1511288089103834,0.3904421834155711,0.9312131068545958,0.8886738437966211,0:00:08.732856,0.0172648868764623,0.542273581367246,0.9920089949002128,0.9318172654328456,0:00:08.934151,0.028303369765829,0.3895967768735458,0.991286190418825,0.9311318092012418,0:00:09.762916,0.1409730894481511,0.3212491489260349,0.9394048909769908,0.9017781541066892,0:00:09.678263
56,0.1482769756175014,0.3687015632773538,0.9347869734570132,0.8895609048022257,0:00:08.716024,0.0174890218683712,0.5838853889373832,0.991647592659519,0.9325430426192493,0:00:08.785061,0.0280429994611334,0.454719254849417,0.9917680600730836,0.9313334139752428,0:00:09.635009,0.1402083554087549,0.3218151651798103,0.9424165763161064,0.9021813636546914,0:00:09.479540
57,0.1486253256279502,0.3648170467339104,0.9350279082841424,0.8862545865086086,0:00:08.700875,0.0173730794979982,0.614274417931432,0.9917680600730836,0.9285915890488288,0:00:08.696826,0.0276802624910637,0.3751197545385651,0.9920089949002128,0.9308495625176404,0:00:09.651083,0.1364483167148353,0.3357366025075792,0.9418142392482832,0.9002459578242813,0:00:09.502829
58,0.1464013570455763,0.3865891084082176,0.9324579367947636,0.8889560904802227,0:00:08.678786,0.0162842318139232,0.535715551904489,0.9923302413363853,0.9329865731220516,0:00:08.703539,0.028234518726949,0.4101854187753918,0.9911657230052604,0.9306076367888392,0:00:08.980491,0.1319452492150793,0.34401226564716,0.9453881058507008,0.903270029434297,0:00:09.419999
59,0.1491216700380625,0.4101558044446589,0.933301208689716,0.8852868835934035,0:00:08.666503,0.0179555470649362,0.5680100524131872,0.9920089949002128,0.9323817588000484,0:00:08.697816,0.0271531955245762,0.4414099541177774,0.9922097739228204,0.9295592919640338,0:00:08.929778,0.1322771181341678,0.3394225170060552,0.9447857687828776,0.9018991169710898,0:00:09.504170
60,0.1446190606539684,0.3658579760519116,0.9342649479982332,0.8906495705818313,0:00:08.671183,0.0187524840517327,0.6111179377417562,0.9907240091555234,0.9325430426192493,0:00:08.884068,0.0274238154070913,0.322933880957562,0.991366502027868,0.9302850691504376,0:00:09.010145,0.132688725301434,0.3350497321717768,0.944223587519576,0.9018587960162896,0:00:09.711686
61,0.1426178979124296,0.3878104735319454,0.9343452596072762,0.8900447562598283,0:00:08.685178,0.0176650771715228,0.5418891667207336,0.9924507087499498,0.9321398330712471,0:00:08.723748,0.0267639254027124,0.3559578089114762,0.9922900855318636,0.9290754405064312,0:00:08.892167,0.1346606007336001,0.3627194905168728,0.9447857687828776,0.9008104511914844,0:00:09.519806
62,0.1418819484846076,0.4042271190759786,0.9360719592017026,0.89040764485303,0:00:08.701077,0.0169817849027008,0.5973143033718769,0.9922900855318636,0.9309705253820412,0:00:08.657318,0.026904582426433,0.4964312545980435,0.9915271252459544,0.9312124511108424,0:00:08.859496,0.1307994943310593,0.3352855456997562,0.9436614062562744,0.8955687270674569,0:00:09.536430
63,0.1399112351382788,0.3968068899733215,0.9365136730514396,0.8886738437966211,0:00:08.696964,0.0161532616212801,0.5911934145718197,0.9926916435770792,0.9318172654328456,0:00:08.755544,0.025951044000668,0.4233775298271874,0.9922097739228204,0.92887383573243,0:00:08.849174,0.1279355252355297,0.3563387935942749,0.945468417459744,0.8923833716382404,0:00:09.496990
64,0.1402552160201295,0.4632835003513295,0.9371963217283058,0.8843595016329987,0:00:08.691645,0.0157730450767128,0.550860540022439,0.99297273420873,0.9306076367888392,0:00:08.739397,0.025776647776425,0.3982940932301717,0.9924105529454282,0.9314543768396436,0:00:08.859731,0.1291235023302498,0.3389774745913938,0.9462715335501748,0.9016571912422886,0:00:09.626699
65,0.1365800130710638,0.3932108919582684,0.9388828655182108,0.8910527801298335,0:00:08.674734,0.0158579370657616,0.6363104314716262,0.9930128900132514,0.932301116890448,0:00:08.900105,0.0270469566302391,0.3793659703828546,0.9918885274866482,0.928269021410427,0:00:08.995633,0.125529596935336,0.3826317206293956,0.947395896076778,0.9020604007902908,0:00:09.807676
66,0.1330857127782349,0.4195350356255691,0.9404087860900292,0.8876658199266159,0:00:08.668861,0.0167300690590168,0.585181768808005,0.9925310203589928,0.9306882786984396,0:00:08.747766,0.0257012317687252,0.4006455471652267,0.992089306509256,0.92883351477763,0:00:08.833268,0.1238337800860768,0.3568415296388865,0.948279323776252,0.9008104511914844,0:00:09.614915
67,0.1379804523979745,0.4474192487085525,0.9375577239689996,0.8819402443449861,0:00:08.669520,0.0149399878423426,0.6019598002745746,0.9933341364494238,0.9306076367888392,0:00:08.738632,0.0254782168460471,0.4815785994223034,0.9918885274866482,0.9298415386476352,0:00:08.824160,0.125931049341429,0.3704467066323633,0.947556519294864,0.9002459578242813,0:00:09.557856
68,0.1359242728836021,0.4024867014005306,0.9385214632775168,0.8897625095762267,0:00:08.682246,0.0137796848731943,0.6501592707069156,0.9932939806449024,0.931535018749244,0:00:08.908928,0.0267995837481657,0.45326700661393,0.992089306509256,0.9287528728680297,0:00:08.838093,0.1249807102973924,0.378741278542328,0.9480785447536442,0.9029877827506956,0:00:09.489427
69,0.1327537113934542,0.4241539334694399,0.9391639561498616,0.8910124591750331,0:00:08.691974,0.0157250843442605,0.6076682596535055,0.9929325784042085,0.930002822466836,0:00:08.892171,0.0255799472265461,0.4275930861793257,0.9924507087499498,0.9293173662352324,0:00:08.862804,0.1212200548276257,0.3852721190562508,0.9481990121672088,0.9001249949598807,0:00:09.575482
70,0.1322975967053098,0.4180999388437713,0.9400875396538568,0.8879883875650175,0:00:08.707350,0.0176421260393359,0.6153896258739949,0.9921294623137774,0.9324624007096488,0:00:09.067454,0.025393400363782,0.4474843453938767,0.9927317993816006,0.9309705253820412,0:00:08.979717,0.1193129444478105,0.4013700518267685,0.9506485162430228,0.9027458570218942,0:00:09.823249
71,0.1270193306499654,0.4192432448479166,0.9414528370075894,0.8830692310793918,0:00:08.693272,0.0154488256772803,0.6356304168439049,0.9930128900132514,0.9314946977944438,0:00:08.877892,0.0243344384730924,0.4306845227227909,0.9925711761635144,0.9300431434216364,0:00:08.895087,0.1219751447294534,0.4124163315699633,0.9490021282576396,0.9015765493326882,0:00:09.593613
72,0.1339931484178518,0.4179289637615943,0.9392442677589046,0.8864158703278093,0:00:08.667541,0.0145468857387001,0.6223793422358095,0.9932136690358592,0.9318172654328456,0:00:08.806789,0.0254518292172161,0.3593616343984568,0.9922097739228204,0.9304463529696384,0:00:08.849551,0.120766107474761,0.3673643609904922,0.9500863349797212,0.9024636103382928,0:00:09.584140
